rapnetptrid,FROM,TO,POINTER,last_modifiedby,last_modified_date
1,0.01,0.03,0.01-0.03,1,now()
2,0.04,0.07,0.04-0.07,1,now()
3,0.08,0.14,0.08-0.14,1,now()
4,0.15,0.17,0.15-0.17,1,now()
5,0.18,0.22,0.18-0.22,1,now()
6,0.23,0.29,0.23-0.29,1,now()
7,0.30,0.39,0.30-0.39,1,now()
8,0.40,0.49,0.40-0.49,1,now()
9,0.50,0.69,0.50-0.69,1,now()
10,0.70,0.89,0.70-0.89,1,now()
11,0.90,0.99,0.90-0.99,1,now()
12,1.00,1.49,1.00-1.49,1,now()
13,1.50,1.99,1.50-1.99,1,now()
14,2.00,2.99,2.00-2.99,1,now()
15,3.00,3.99,3.00-3.99,1,now()
16,4.00,4.99,4.00-4.99,1,now()
17,5.00,5.99,5.00-5.99,1,now()
18,10.00,10.99,10.00-10.99,1,now()
