suratptrid,Shape,From,To,SRTPointer,Con,CertCost,last_modifiedby,last_modified_date
1,1,0.15,0.17,0.15-0.17,Round0.15-0.17,207,1,now()
2,1,0.18,0.19,0.18-0.19,Round0.18-0.19,172,1,now()
3,1,0.2,0.22,0.20-0.22,Round0.20-0.22,155,1,now()
4,1,0.23,0.29,0.23-0.29,Round0.23-0.29,143,1,now()
5,1,0.3,0.32,0.30-0.32,Round0.30-0.32,133,1,now()
6,1,0.33,0.34,0.33-0.34,Round0.33-0.34,121,1,now()
7,1,0.35,0.36,0.35-0.36,Round0.35-0.36,114,1,now()
8,1,0.37,0.39,0.37-0.39,Round0.37-0.39,108,1,now()
9,1,0.4,0.44,0.40-0.44,Round0.40-0.44,105,1,now()
10,1,0.45,0.475,0.45-0.475,Round0.45-0.475,93,1,now()
11,1,0.476,0.499,0.476-0.49,Round0.476-0.49,88,1,now()
12,1,0.5,0.52,0.50-0.52,Round0.50-0.52,86,1,now()
13,1,0.53,0.59,0.53-0.59,Round0.53-0.59,81,1,now()
14,1,0.6,0.62,0.60-0.62,Round0.60-0.62,72,1,now()
15,1,0.63,0.69,0.63-0.69,Round0.63-0.69,68,1,now()
16,1,0.7,0.725,0.70-0.725,Round0.70-0.725,74,1,now()
17,1,0.726,0.79,0.726-0.79,Round0.726-0.79,71,1,now()
18,1,0.8,0.84,0.80-0.84,Round0.80-0.84,65,1,now()
19,1,0.85,0.89,0.85-0.89,Round0.85-0.89,61,1,now()
20,1,0.9,0.94,0.90-0.94,Round0.90-0.94,58,1,now()
21,1,0.95,0.97,0.95-0.97,Round0.95-0.97,55,1,now()
22,1,0.98,0.99,0.98-0.99,Round0.98-0.99,53,1,now()
23,1,1,1.03,1.00-1.03,Round1.00-1.03,126,1,now()
24,1,1.04,1.09,1.04-1.09,Round1.04-1.09,121,1,now()
25,1,1.1,1.19,1.10-1.19,Round1.10-1.19,115,1,now()
26,1,1.2,1.29,1.20-1.29,Round1.20-1.29,109,1,now()
27,1,1.3,1.39,1.30-1.39,Round1.30-1.39,101,1,now()
28,1,1.4,1.44,1.40-1.44,Round1.40-1.44,94,1,now()
29,1,1.45,1.49,1.45-1.49,Round1.45-1.49,90,1,now()
30,1,1.5,1.69,1.50-1.69,Round1.50-1.69,98,1,now()
31,1,1.7,1.79,1.70-1.79,Round1.70-1.79,86,1,now()
32,1,1.8,1.94,1.80-1.94,Round1.80-1.94,82,1,now()
33,1,1.95,1.99,1.95-1.99,Round1.95-1.99,75,1,now()
34,1,2,2.2,2.00-2.20,Round2.00-2.20,103,1,now()
35,1,2.21,2.39,2.21-2.39,Round2.21-2.39,93,1,now()
36,1,2.4,2.49,2.40-2.49,Round2.40-2.49,85,1,now()
37,1,2.5,2.69,2.50-2.69,Round2.50-2.69,82,1,now()
38,1,2.7,2.79,2.70-2.79,Round2.70-2.79,76,1,now()
39,1,2.8,2.99,2.80-2.99,Round2.80-2.99,73,1,now()
40,1,3,3.2,3.00-3.20,Round3.00-3.20,100,1,now()
41,1,3.21,3.49,3.21-3.49,Round3.21-3.49,93,1,now()
42,1,3.5,3.69,3.50-3.69,Round3.50-3.69,85,1,now()
43,1,3.7,3.99,3.70-3.99,Round3.70-3.99,81,1,now()
44,1,4,4.2,4.00-4.20,Round4.00-4.20,100,1,now()
45,1,4.21,4.49,4.21-4.49,Round4.21-4.49,95,1,now()
46,1,4.5,4.69,4.50-4.69,Round4.50-4.69,89,1,now()
47,1,4.7,4.99,4.70-4.99,Round4.70-4.99,85,1,now()
48,1,5,5.2,5.00-5.20,Round5.00-5.20,114,1,now()
49,1,5.21,5.49,5.21-5.49,Round5.21-5.49,109,1,now()
50,1,5.5,5.69,5.50-5.69,Round5.50-5.69,103,1,now()
51,1,5.7,5.99,5.70-9.99,Round5.70-9.99,100,1,now()
52,4,0.3,0.34,0.30-0.34,Pear0.30-0.34,133.3333333,1,now()
53,4,0.35,0.39,0.35-0.39,Pear0.35-0.39,114.2857143,1,now()
54,4,0.4,0.44,0.40-0.44,Pear0.40-0.44,105,1,now()
55,4,0.45,0.49,0.45-0.49,Pear0.45-0.49,93.33333333,1,now()
56,4,0.5,0.54,0.50-0.54,Pear0.50-0.54,86,1,now()
57,4,0.55,0.59,0.55-0.59,Pear0.55-0.59,78.18181818,1,now()
58,4,0.6,0.69,0.60-0.69,Pear0.60-0.69,71.66666667,1,now()
59,4,0.7,0.74,0.70-0.74,Pear0.70-0.74,74.28571429,1,now()
60,4,0.75,0.79,0.75-0.79,Pear0.75-0.79,69.33333333,1,now()
61,4,0.8,0.89,0.80-0.89,Pear0.80-0.89,65,1,now()
62,4,0.9,0.94,0.90-0.94,Pear0.90-0.94,57.77777778,1,now()
63,4,0.95,0.99,0.95-0.99,Pear0.95-0.99,54.73684211,1,now()
64,4,1,1.04,1.00-1.04,Pear1.00-1.04,126,1,now()
65,4,1.05,1.1,1.05-1.10,Pear1.05-1.10,120,1,now()
66,4,1.11,1.19,1.11-1.19,Pear1.11-1.19,113.5135135,1,now()
67,4,1.2,1.39,1.20-1.39,Pear1.20-1.39,109.1666667,1,now()
68,4,1.4,1.44,1.40-1.44,Pear1.40-1.44,93.57142857,1,now()
69,4,1.45,1.49,1.45-1.49,Pear1.45-1.49,90.34482759,1,now()
70,4,1.5,1.69,1.50-1.69,Pear1.50-1.69,98,1,now()
71,4,1.7,1.79,1.70-1.79,Pear1.70-1.79,86.47058824,1,now()
72,4,1.8,1.94,1.80-1.94,Pear1.80-1.94,81.66666667,1,now()
73,4,1.95,1.99,1.95-1.99,Pear1.95-1.99,75.38461538,1,now()
74,4,2,2.2,2.00-2.20,Pear2.00-2.20,102.5,1,now()
75,4,2.21,2.39,2.21-2.39,Pear2.21-2.39,92.760181,1,now()
76,4,2.4,2.49,2.40-2.49,Pear2.40-2.49,85.41666667,1,now()
77,4,2.5,2.69,2.50-2.69,Pear2.50-2.69,82,1,now()
78,4,2.7,2.79,2.70-2.79,Pear2.70-2.79,75.92592593,1,now()
79,4,2.8,2.94,2.80-2.94,Pear2.80-2.94,73.21428571,1,now()
80,4,2.95,2.99,2.95-2.99,Pear2.95-2.99,69.49152542,1,now()
81,4,3,3.99,3.00-3.99,Pear3.00-3.99,99.66666667,1,now()
82,4,4,4.99,4.00-4.99,Pear4.00-4.99,100,1,now()
83,4,5,5.99,5.00-5.99,Pear5.00-5.99,113.6,1,now()
84,6,0.5,0.54,0.50-0.54,Cushion0.50-0.54,86,1,now()
85,6,0.55,0.59,0.55-0.59,Cushion0.55-0.59,78.18181818,1,now()
86,6,0.6,0.69,0.60-0.69,Cushion0.60-0.69,71.66666667,1,now()
87,6,0.7,0.74,0.70-0.74,Cushion0.70-0.74,74.28571429,1,now()
88,6,0.75,0.79,0.75-0.79,Cushion0.75-0.79,69.33333333,1,now()
89,6,0.8,0.89,0.80-0.89,Cushion0.80-0.89,65,1,now()
90,6,0.9,0.94,0.90-0.94,Cushion0.90-0.94,57.77777778,1,now()
91,6,0.95,0.99,0.95-0.99,Cushion0.95-0.99,54.73684211,1,now()
92,6,1,1.1,1.00-1.10,Cushion1.00-1.10,122.9733333,1,now()
93,6,1.11,1.19,1.11-1.19,Cushion1.11-1.19,113.5135135,1,now()
94,6,1.2,1.39,1.20-1.39,Cushion1.20-1.39,109.1666667,1,now()
95,6,1.4,1.44,1.40-1.44,Cushion1.40-1.44,93.57142857,1,now()
96,6,1.45,1.49,1.45-1.49,Cushion1.45-1.49,90.34482759,1,now()
97,6,1.5,1.69,1.50-1.69,Cushion1.50-1.69,98,1,now()
98,6,1.7,1.89,1.70-1.89,Cushion1.70-1.89,86.47058824,1,now()
99,6,1.9,1.94,1.90-1.94,Cushion1.90-1.94,77.36842105,1,now()
100,6,1.95,1.99,1.95-1.99,Cushion1.95-1.99,75.38461538,1,now()
101,6,2,2.2,2.00-2.20,Cushion2.00-2.20,102.5,1,now()
102,6,2.21,2.39,2.21-2.39,Cushion2.21-2.39,92.760181,1,now()
