suratptrid,From,To,Pointers,last_modifiedby,last_modified_date
1,0.18,0.22,0.18-0.22,1,now()
2,0.23,0.29,0.23-0.29,1,now()
3,0.30,0.34,0.30-0.34,1,now()
4,0.35,0.36,0.35-0.36,1,now()
5,0.37,0.39,0.37-0.39,1,now()
6,0.40,0.44,0.40-0.44,1,now()
7,0.45,0.49,0.45-0.49,1,now()
8,0.50,0.59,0.50-0.59,1,now()
9,0.60,0.69,0.60-0.69,1,now()
10,0.70,0.79,0.70-0.79,1,now()
11,0.80,0.89,0.80-0.89,1,now()
12,0.90,0.96,0.90-0.96,1,now()
13,0.97,0.99,0.97-0.99,1,now()
14,1.00,1.19,1.00-1.19,1,now()
15,1.20,1.29,1.20-1.29,1,now()
16,1.30,1.39,1.30-1.39,1,now()
17,1.40,1.44,1.40-1.44,1,now()
18,1.45,1.49,1.45-1.49,1,now()
19,1.50,1.69,1.50-1.69,1,now()
20,1.70,1.79,1.70-1.79,1,now()
21,1.80,1.96,1.80-1.96,1,now()
22,1.97,1.99,1.97-1.99,1,now()
23,2.00,2.20,2.00-2.20,1,now()
24,2.21,2.39,2.21-2.39,1,now()
25,2.40,2.49,2.40-2.49,1,now()
26,2.50,2.69,2.50-2.69,1,now()
27,2.70,2.79,2.70-2.79,1,now()
28,2.80,2.99,2.80-2.99,1,now()
29,3.00,3.20,3.00-3.20,1,now()
30,3.21,3.49,3.21-3.49,1,now()
31,3.50,3.69,3.50-3.69,1,now()
32,3.70,3.99,3.70-3.99,1,now()
33,4.00,4.20,4.00-4.20,1,now()
34,4.21,4.49,4.21-4.49,1,now()
35,4.50,4.69,4.50-4.69,1,now()
36,4.70,4.99,4.70-4.99,1,now()
37,5.00,5.20,5.00-5.20,1,now()
38,5.21,5.49,5.21-5.49,1,now()
39,5.50,5.69,5.50-5.69,1,now()
40,5.70,9.99,5.70-9.99,1,now()
